correction_model,dataset,model,noise_type,data_coverage,fit_time (s),mse,mape,sample_size
LR,cifar100,resnet18,randm_proc,0.1,0.010642051696777344,2.64396e-06,0.00022394549,1122781
LR,cifar100,resnet18,randm_proc,0.3,0.04724907875061035,2.6439598e-06,0.00022394546,3368343
LR,cifar100,resnet18,randm_proc,0.5,0.06766104698181152,2.6439557e-06,0.00022363226,5613906
LR,cifar100,resnet18,randm_proc,0.7,0.07847261428833008,2.643959e-06,0.00022392192,7859468
LR,cifar100,resnet18,randm_proc,0.9,0.23204326629638672,2.6439566e-06,0.00022363986,10105030
LR,cifar100,resnet18,randm_proc,1.0,0.25508642196655273,2.6439568e-06,0.00022371004,11227812
LR,cifar10,resnet18,randm,0.1,0.018250703811645508,2.8734696e-06,0.00024093149,1118164
LR,cifar10,resnet18,randm,0.3,0.04008340835571289,2.8734637e-06,0.00024086493,3354492
LR,cifar10,resnet18,randm,0.5,0.06630539894104004,2.8734669e-06,0.00024129034,5590821
LR,cifar10,resnet18,randm,0.7,0.09535574913024902,2.8734657e-06,0.00024106736,7827149
LR,cifar10,resnet18,randm,0.9,0.2306511402130127,2.8734632e-06,0.00024080763,10063477
LR,cifar10,resnet18,randm,1.0,0.25333213806152344,2.8734648e-06,0.00024092277,11181642
LR,cifar100,cusCNN,randm,0.1,0.0030393600463867188,1.6159236e-05,0.0002545252,211799
LR,cifar100,cusCNN,randm,0.3,0.0064809322357177734,1.6159871e-05,0.0002503045,635397
LR,cifar100,cusCNN,randm,0.5,0.010131597518920898,1.6159735e-05,0.00025118672,1058996
LR,cifar100,cusCNN,randm,0.7,0.013967037200927734,1.6159665e-05,0.00025160352,1482594
LR,cifar100,cusCNN,randm,0.9,0.020200729370117188,1.6159729e-05,0.0002512418,1906192
LR,cifar100,cusCNN,randm,1.0,0.019486427307128906,1.6159705e-05,0.00025136833,2117992
LR,cifar100,resnet18,randm,0.1,0.010682106018066406,2.643965e-06,0.00022271069,1122781
LR,cifar100,resnet18,randm,0.3,0.04690146446228027,2.6439645e-06,0.00022320899,3368343
LR,cifar100,resnet18,randm,0.5,0.06782984733581543,2.6439664e-06,0.000223308,5613906
LR,cifar100,resnet18,randm,0.7,0.07809948921203613,2.6439652e-06,0.00022350784,7859468
LR,cifar100,resnet18,randm,0.9,0.23128747940063477,2.6439634e-06,0.00022324554,10105030
LR,cifar100,resnet18,randm,1.0,0.255251407623291,2.6439639e-06,0.0002232943,11227812
LR,mnist,cusMLP,randm,0.1,0.0017845630645751953,3.4246992e-07,0.000338157,46887
LR,mnist,cusMLP,randm,0.3,0.001829385757446289,3.4247e-07,0.00033784212,140662
LR,mnist,cusMLP,randm,0.5,0.0028476715087890625,3.424695e-07,0.0003378641,234437
LR,mnist,cusMLP,randm,0.7,0.003589153289794922,3.424709e-07,0.00033782472,328211
LR,mnist,cusMLP,randm,0.9,0.00408482551574707,3.424705e-07,0.0003378396,421986
LR,mnist,cusMLP,randm,1.0,0.004489421844482422,3.4247117e-07,0.0003378211,468874
LR,cifar10,cusCNN,randm,0.1,0.004189968109130859,0.00022948493,0.0009078336,207290
LR,cifar10,cusCNN,randm,0.3,0.006155967712402344,0.00022948367,0.0009095379,621870
LR,cifar10,cusCNN,randm,0.5,0.009958744049072266,0.0002294847,0.0009080539,1036451
LR,cifar10,cusCNN,randm,0.7,0.01354527473449707,0.00022948481,0.00090796605,1451031
LR,cifar10,cusCNN,randm,0.9,0.019886016845703125,0.00022948456,0.00090830505,1865611
LR,cifar10,cusCNN,randm,1.0,0.01892542839050293,0.00022948466,0.0009081578,2072902
MLP10_10_200iter,mnist,cusMLP,determ,0.1,0.8579196929931641,9.251228e-09,3.3672382e-06,46887
MLP10_10_200iter,mnist,cusMLP,determ,0.3,2.7131025791168213,5.0721383e-09,1.2529605e-05,140662
MLP10_10_200iter,mnist,cusMLP,determ,0.5,4.595680236816406,5.3532556e-10,2.6082553e-06,234437
MLP10_10_200iter,mnist,cusMLP,determ,0.7,6.520435094833374,8.8103985e-10,6.5134395e-07,328211
MLP10_10_200iter,mnist,cusMLP,determ,0.9,9.394202709197998,3.6328198e-09,2.5140105e-05,421986
MLP10_10_200iter,mnist,cusMLP,determ,1.0,9.131001234054565,2.4445239e-08,0.00015396976,468874
MLP10_10_200iter,cifar10,cusCNN,determ,0.1,4.3596720695495605,0.00029905344,0.001150178,207290
MLP10_10_200iter,cifar10,cusCNN,determ,0.3,13.78638482093811,0.00032001085,0.0011055216,621870
MLP10_10_200iter,cifar10,cusCNN,determ,0.5,24.555657148361206,0.00029721562,0.0010621037,1036451
